Table	Head	Target	Result	Convers
0	0	2.8	4.2742	1
0	0	4	4.9966	1
0	0	5	5.6028	1
0	0	8	8.615602	1
0	0	11	11.3876	1
0	0	15	15.4308	1
0	0	20	20.51	1
0	0	25	25.6242	1
0	0	30	30.8308	1
0	0	35	35.945	1
0	1	2.8	3.203199	1
0	1	4	4.197199	1
0	1	5	5.196801	1
0	1	8	8.127001	1
0	1	11	11.0236	1
0	1	15	15.0262	1
0	1	20	20.167	1
0	1	25	25.592	1
0	1	30	30.4822	1
0	1	35	35.6692	1
0	2	2.8	2.9316	1
0	2	4	3.7464	1
0	2	5	4.664801	1
0	2	8	7.821799	1
0	2	11	10.9088	1
0	2	15	15.0668	1
0	2	20	20.426	1
0	2	25	25.3372	1
0	2	30	30.24	1
0	2	35	35.728	1
0	3	2.8	3.675	1
0	3	4	4.2196	1
0	3	5	5.217801	1
0	3	8	8.232001	1
0	3	11	11.2938	1
0	3	15	15.1718	1
0	3	20	20.3168	1
0	3	25	25.6648	1
0	3	30	30.625	1
0	3	35	36.0164	1
0	4	2.8	3.379601	1
0	4	4	4.6032	1
0	4	5	5.322801	1
0	4	8	8.310401	1
0	4	11	11.3358	1
0	4	15	15.3552	1
0	4	20	20.6626	1
0	4	25	25.7488	1
0	4	30	30.9708	1
0	4	35	35.987	1
0	5	2.8	3.6624	1
0	5	4	4.586401	1
0	5	5	5.5888	1
0	5	8	8.316001	1
0	5	11	11.5598	1
0	5	15	15.0584	1
0	5	20	20.104	1
0	5	25	25.2224	1
0	5	30	29.2222	1
0	5	35	35.2492	1
0	6	2.8	3.421601	1
0	6	4	4.475801	1
0	6	5	5.3634	1
0	6	8	8.1102	1
0	6	11	11.0306	1
0	6	15	15.1284	1
0	6	20	20.4008	1
0	6	25	25.4282	1
0	6	30	30.5718	1
0	6	35	35.6146	1
0	7	2.8	2.9246	1
0	7	4	4.3288	1
0	7	5	5.217801	1
0	7	8	8.156401	1
0	7	11	11.1118	1
0	7	15	15.1942	1
0	7	20	20.461	1
0	7	25	25.3736	1
0	7	30	30.6306	1
0	7	35	35.756	1
1	0	2.8	3.234	1
1	0	4	4.1076	1
1	0	5	4.9518	1
1	0	8	7.992599	1
1	0	11	10.948	1
1	0	15	15.0976	1
1	0	20	20.1432	1
1	0	25	25.284	1
1	0	30	30.1826	1
1	0	35	35.73921	1
1	1	2.8	3.301199	1
1	1	4	4.1482	1
1	1	5	5.271001	1
1	1	8	8.156401	1
1	1	11	11.1818	1
1	1	15	15.169	1
1	1	20	20.1978	1
1	1	25	25.3428	1
1	1	30	30.4458	1
1	1	35	35.6314	1
1	2	2.8	3.2494	1
1	2	4	4.2406	1
1	2	5	5.4418	1
1	2	8	8.309001	1
1	2	11	11.0236	1
1	2	15	15.1858	1
1	2	20	20.2076	1
1	2	25	25.0278	1
1	2	30	30.0244	1
1	2	35	35.56421	1
1	3	2.8	3.2354	1
1	3	4	4.6074	1
1	3	5	5.4754	1
1	3	8	8.281001	1
1	3	11	11.3918	1
1	3	15	15.414	1
1	3	20	20.4596	1
